,contractSymbol,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark
50,A210618C00105000,105.0,25.9,27.2,,1,0.5822795678710937,True,2021-06-18,True,26.549999999999997
51,A210618C00115000,115.0,14.9,19.0,,2,0.5770305969238281,True,2021-06-18,True,16.95
52,A210618C00125000,125.0,8.1,8.6,6.0,8,0.31604687866210934,True,2021-06-18,True,8.35
53,A210618C00130000,130.0,4.9,5.2,17.0,195,0.28955788574218744,True,2021-06-18,True,5.050000000000001
54,A210618C00135000,135.0,2.5,2.9,14.0,173,0.28211167114257807,False,2021-06-18,True,2.7
55,A210618C00140000,140.0,1.05,1.25,5.0,208,0.260749580078125,False,2021-06-18,True,1.15
56,A210618C00145000,145.0,0.35,0.55,13.0,165,0.2617261328125,False,2021-06-18,True,0.45
57,A210618C00150000,150.0,0.0,0.6,2.0,4,0.33008482421874996,False,2021-06-18,True,0.3
58,A210618C00155000,155.0,0.0,0.85,,10,0.4233456103515625,False,2021-06-18,True,0.425
59,A210618P00110000,110.0,0.2,1.0,1.0,7,0.4821829125976563,False,2021-06-18,False,0.6
60,A210618P00115000,115.0,0.5,0.65,3.0,32,0.3442448388671875,False,2021-06-18,False,0.575
61,A210618P00120000,120.0,0.95,1.25,2.0,37,0.3242255078124999,False,2021-06-18,False,1.1
62,A210618P00125000,125.0,1.85,2.3,1.0,493,0.3051827294921875,False,2021-06-18,False,2.075
63,A210618P00130000,130.0,3.5,3.8,4.0,272,0.2738109729003906,False,2021-06-18,False,3.65
64,A210618P00135000,135.0,6.2,6.5,15.0,39,0.2657544128417969,True,2021-06-18,False,6.35
65,A210618P00140000,140.0,9.5,10.0,1.0,1,0.2523268127441406,True,2021-06-18,False,9.75
66,A210820C00070000,70.0,59.3,63.6,1.0,1,0.6250037500000001,True,2021-08-20,True,61.45
67,A210820C00095000,95.0,30.4,31.1,1.0,5,1.0000000000000003e-05,True,2021-08-20,True,30.75
68,A210820C00100000,100.0,30.8,33.5,1.0,14,0.509892596435547,True,2021-08-20,True,32.15
69,A210820C00105000,105.0,0.0,0.0,,0,1.0000000000000003e-05,True,2021-08-20,True,0.0
70,A210820C00110000,110.0,22.3,23.0,1.0,48,0.34729656616210935,True,2021-08-20,True,22.65
71,A210820C00115000,115.0,18.1,18.7,1.0,41,0.32556826782226556,True,2021-08-20,True,18.4
72,A210820C00120000,120.0,14.1,14.7,1.0,143,0.30652548950195313,True,2021-08-20,True,14.399999999999999
73,A210820C00125000,125.0,10.6,11.0,2.0,114,0.2860789166259765,True,2021-08-20,True,10.8
74,A210820C00130000,130.0,7.5,8.2,1.0,124,0.28363753479003895,True,2021-08-20,True,7.85
75,A210820C00135000,135.0,5.1,5.9,8.0,601,0.2805247729492187,False,2021-08-20,True,5.5
76,A210820C00140000,140.0,3.2,3.6,2.0,228,0.25751474914550787,False,2021-08-20,True,3.4000000000000004
77,A210820C00145000,145.0,1.95,2.25,2.0,51,0.25171646728515623,False,2021-08-20,True,2.1
78,A210820C00150000,150.0,1.1,1.6,4.0,492,0.26233647827148443,False,2021-08-20,True,1.35
79,A210820C00155000,155.0,0.6,1.35,1.0,18,0.28613995117187496,False,2021-08-20,True,0.9750000000000001
80,A210820C00160000,160.0,0.6,0.85,1.0,523,0.28394270751953116,False,2021-08-20,True,0.725
81,A210820C00165000,165.0,0.3,0.5,1.0,58,0.2795482202148437,False,2021-08-20,True,0.4
82,A210820C00170000,170.0,0.05,0.85,8.0,8,0.344733115234375,False,2021-08-20,True,0.45
83,A210820C00185000,185.0,0.0,1.0,2.0,2,0.44067942138671873,False,2021-08-20,True,0.5
84,A210820C00190000,190.0,0.0,2.05,1.0,13,0.5542036767578126,False,2021-08-20,True,1.025
85,A210820C00195000,195.0,0.0,0.15,1.0,1,0.3530338134765625,False,2021-08-20,True,0.075
86,A210820C00200000,200.0,0.0,0.3,1.0,1,0.4116269775390625,False,2021-08-20,True,0.15
87,A210820P00060000,60.0,0.0,1.05,1.0,51,0.8383805224609374,False,2021-08-20,False,0.525
88,A210820P00070000,70.0,0.35,0.6,1.0,3,0.6777375976562501,False,2021-08-20,False,0.475
